z,locations,text
7.140282631,BRA,Brazil
6.980998993,BRA,Brazil
6.546896935,BRA,Brazil
6.374817371,BRA,Brazil
3.843797922,BGR,Bulgaria
3.912276268,BGR,Bulgaria
3.875382423,BGR,Bulgaria
4.222297192,BGR,Bulgaria
3.993020535,BGR,Bulgaria
4.438439846,BGR,Bulgaria
4.865401268,BGR,Bulgaria
4.837560654,BGR,Bulgaria
3.801490784,BFA,Burkina Faso
4.017130375,BFA,Burkina Faso
3.846438885,BFA,Burkina Faso
4.035560608,BFA,Burkina Faso
4.785367489,BFA,Burkina Faso
3.95500803,BFA,Burkina Faso
3.325949669,BFA,Burkina Faso
3.481347799,BFA,Burkina Faso
4.418930054,BFA,Burkina Faso
4.205634594,BFA,Burkina Faso
3.563227654,BDI,Burundi
3.791680813,BDI,Burundi
3.705894232,BDI,Burundi
2.904535055,BDI,Burundi
3.568744659,KHM,Cambodia
4.15597105,KHM,Cambodia
4.462163925,KHM,Cambodia
4.110625744,KHM,Cambodia
4.141072273,KHM,Cambodia
4.161225319,KHM,Cambodia
3.898706913,KHM,Cambodia
3.674466848,KHM,Cambodia
3.88330555,KHM,Cambodia
4.162164688,KHM,Cambodia
4.461259365,KHM,Cambodia
3.851072073,CMR,Cameroon
4.349939346,CMR,Cameroon
4.291800499,CMR,Cameroon
4.741408348,CMR,Cameroon
4.554256916,CMR,Cameroon
4.433885098,CMR,Cameroon
4.244634151,CMR,Cameroon
4.271038055,CMR,Cameroon
4.240441322,CMR,Cameroon
5.037964821,CMR,Cameroon
4.816232204,CMR,Cameroon
7.418048382,CAN,Canada
7.481752872,CAN,Canada
7.485603809,CAN,Canada
7.48782444,CAN,Canada
7.650346279,CAN,Canada
7.426053524,CAN,Canada
7.415144444,CAN,Canada
7.593793869,CAN,Canada
7.30425787,CAN,Canada
7.412772655,CAN,Canada
7.244845867,CAN,Canada
4.160129547,CAF,Central African Republic
3.567892551,CAF,Central African Republic
3.677826405,CAF,Central African Republic
2.693061113,CAF,Central African Republic
3.434800625,TCD,Chad
4.141326904,TCD,Chad
4.632468224,TCD,Chad
3.639445066,TCD,Chad
3.742871046,TCD,Chad
4.393482208,TCD,Chad
4.03297472,TCD,Chad
3.507663012,TCD,Chad
3.460182905,TCD,Chad
4.322675228,TCD,Chad
4.029350281,TCD,Chad
6.062851906,CHL,Chile
5.697929859,CHL,Chile
5.789438725,CHL,Chile
6.493686199,CHL,Chile
6.63565588,CHL,Chile
6.526334763,CHL,Chile
6.599128723,CHL,Chile
6.74015379,CHL,Chile
6.844238281,CHL,Chile
6.532749653,CHL,Chile
6.579056263,CHL,Chile
4.560495377,CHN,China
4.86286211,CHN,China
4.84629488,CHN,China
4.454360962,CHN,China
4.652736664,CHN,China
5.037207603,CHN,China
5.094917297,CHN,China
